Journey_Pattern_ID,Main_Journey_Pattern_ID,Line_ID,Direction,Variation,Source_Stop_ID,Destination_Stop_ID
00010001,00010001,1,0,1,226,377
00010002,00010001,1,0,2,265,380
00010003,00010001,1,0,3,226,271
00011001,00011001,1,1,1,381,226
00011002,00011001,1,1,2,381,278
00040001,00040001,4,0,1,324,2026
00040002,00040001,4,0,2,324,4725
00041001,00041001,4,1,1,7330,322
00041002,00041001,4,1,2,7330,281
00070001,00070001,7,0,1,4962,4982
00070002,00070001,7,0,2,4962,3219
00070003,00070001,7,0,3,3032,5046
00070004,00070001,7,0,4,1174,3220
00070005,00070001,7,0,5,1174,3219
00071001,00071001,7,1,1,3222,279
00071002,00071001,7,1,2,5047,4962
00071003,00071001,7,1,3,3222,8
00071004,00071001,7,1,4,5047,279
00080001,00080001,8,0,1,4962,3056
00081001,00081001,8,1,1,3057,4962
00081002,00081001,8,1,2,3057,8
00090001,00090001,9,0,1,7132,4392
00090002,00090001,9,0,2,7132,277
00091001,00091001,9,1,1,4392,6229
00091002,00091001,9,1,2,4392,4
00110001,00110001,11,0,1,6122,449
00110002,00110001,11,0,2,6122,271
00111001,00111001,11,1,1,449,6122
00111002,00111001,11,1,2,10,10
00130001,00130001,13,0,1,6235,7229
00130002,00130001,13,0,2,324,7229
00130003,00130001,13,0,3,6235,4545
00130004,00130001,13,0,4,324,2165
00130005,00130001,13,0,5,6235,49
00130006,00130001,13,0,6,324,261
00130007,00130001,13,0,7,6235,7229
00130008,00130001,13,0,8,324,2142
00131001,00131001,13,1,1,7229,6234
00131002,00131001,13,1,2,7229,6238
00131003,00131001,13,1,3,7230,6234
00131004,00131001,13,1,4,7230,332
00131005,00131001,13,1,5,7229,4617
00131007,00131001,13,1,7,7229,6234
00131008,00131001,13,1,8,7229,6182
00131009,00131001,13,1,9,7230,7191
00131010,00131011,13,1,0,281,332
00131012,00131011,13,1,2,7229,281
00140001,00140001,14,0,1,248,2865
00141001,00141001,14,1,1,6041,248
00141003,00141001,14,1,3,297,246
00150001,00150001,15,0,1,6318,6282
00150002,00150001,15,0,2,6318,5190
00151001,00151001,15,1,1,6282,7245
00151002,00151001,15,1,2,6282,299
00160001,00160001,16,0,1,7347,2975
00160002,00160001,16,0,2,226,5051
00160003,00160001,16,0,3,208,2969
00160004,00160001,16,0,4,215,2975
00161001,00161001,16,1,1,5171,7347
00170001,00170001,17,0,1,1380,3085
00170002,00170001,17,0,2,1380,3033
00170003,00170001,17,0,3,765,3085
00170004,00170001,17,0,4,1380,2052
00170005,00170001,17,0,5,1380,2868
00170006,00170001,17,0,6,2437,3085
00171001,00171001,17,1,1,3085,2190
00171002,00171001,17,1,2,3085,1366
00171003,00171001,17,1,3,4391,1366
00180001,00180001,18,0,1,4359,2801
00181001,00181001,18,1,1,385,2212
00181002,00181001,18,1,2,849,4357
00250001,00250001,25,0,1,7391,3888
00251001,00251001,25,1,1,3890,748
00260001,00260001,26,0,1,7391,2210
00261001,00261001,26,1,1,2210,2810
00270001,00270001,27,0,1,4595,2355
00270002,00270001,27,0,2,4595,665
00270003,00270001,27,0,3,395,4642
00271001,00271001,27,1,1,2353,4595
00271002,00271001,27,1,2,298,4595
00271003,00271001,27,1,3,2353,298
00310001,00310001,31,0,1,289,567
00310002,00310001,31,0,2,289,557
00310003,00310001,31,0,3,289,585
00311001,00311001,31,1,1,707,621
00320001,00320001,32,0,1,289,3622
00321001,00321001,32,1,1,3624,296
00330001,00330001,33,0,1,292,3809
00330002,00330001,33,0,2,292,6077
00330003,00330001,33,0,3,292,3797
00331001,00331001,33,1,1,6048,277
00331002,00331001,33,1,2,292,292
00331004,00331001,33,1,4,3813,277
00331005,00331001,33,1,5,6048,1639
00370001,00370001,37,0,1,7333,2959
00371001,00371001,37,1,1,4747,752
00380001,00380001,38,0,1,7333,4745
00380002,00380001,38,0,2,7333,4745
00381001,00381001,38,1,1,4745,752
00381002,00381001,38,1,2,4745,752
00381003,00381001,38,1,3,4745,819
00390001,00390001,39,0,1,7333,7160
00390002,00390001,39,0,2,767,7029
00391001,00391001,39,1,1,7157,752
00400001,00400001,40,0,1,4592,4715
00400002,00400001,40,0,2,4592,261
00400003,00400001,40,0,3,1587,4542
00401001,00401001,40,1,1,4795,4938
00401002,00401001,40,1,2,4795,319
00401003,00401001,40,1,3,279,7474
00410001,00410001,41,0,1,288,4915
00410003,00410001,41,0,3,288,5074
00410005,00410001,41,0,5,288,3672
00410006,00410001,41,0,6,288,4910
00411001,00411001,41,1,1,4843,288
00411002,00411001,41,1,2,4843,277
00411003,00411001,41,1,3,5044,277
00411004,00411001,41,1,4,7347,277
00420001,00420001,42,0,1,299,3615
00420002,00420001,42,0,2,299,3616
00421001,00421001,42,1,1,3605,296
00421002,00421001,42,1,2,3605,296
00430001,00430001,43,0,1,300,3679
00430002,00430001,43,0,2,300,4919
00431001,00431001,43,1,1,5044,621
00431002,00431001,43,1,2,4923,621
00440001,00440001,44,0,1,208,4096
00440002,00440001,44,0,2,265,4096
00441001,00441001,44,1,1,4096,207
00441002,00441001,44,1,2,4096,2892
00470001,00470001,47,0,1,337,5016
00470002,00470001,47,0,2,337,5015
00470003,00470001,47,0,3,763,7290
00471001,00471001,47,1,1,5013,5192
00471002,00471001,47,1,2,5013,399
00490001,00490001,49,0,1,342,4347
00491001,00491001,49,1,1,4342,5192
00491002,00491001,49,1,2,2353,342
00530001,00530001,53,0,1,1184,4469
00531001,00531001,53,1,1,2270,1184
00590001,00590001,59,0,1,2037,3253
00591001,00591001,59,1,1,3250,3070
00610001,00610001,61,0,1,336,2954
00610002,00610001,61,0,2,336,2933
00611001,00611001,61,1,1,7067,400
00611002,00611001,61,1,2,2934,400
00630001,00630001,63,0,1,2039,3283
00630002,00630001,63,0,2,2039,3283
00630003,00630001,63,0,3,2039,3283
00631001,00631001,63,1,1,3283,2039
00631003,00631001,63,1,3,3283,2039
00631004,00631001,63,1,4,3283,2039
00650001,00650001,65,0,1,5189,7289
00650002,00650001,65,0,2,5189,7270
00650003,00650001,65,0,3,5189,4027
00651001,00651001,65,1,1,7289,5189
00651002,00651001,65,1,2,7270,5189
00651003,00651001,65,1,3,5111,5189
00660001,00660001,66,0,1,7391,5114
00661001,00661001,66,1,1,3980,7387
00670001,00670001,67,0,1,7391,3008
00671001,00671001,67,1,1,3917,406
00680001,00680001,68,0,1,4495,6215
00680002,00680001,68,0,2,4495,3399
00680003,00680001,68,0,3,4495,3399
00680004,00680001,68,0,4,4495,6215
00681001,00681001,68,1,1,3400,5192
00681002,00681001,68,1,2,6185,1358
00681003,00681001,68,1,3,6185,5192
00681004,00681001,68,1,4,3400,1358
00681005,00681001,68,1,5,3400,2159
00690001,00690001,69,0,1,4495,4557
00691001,00691001,69,1,1,4564,5190
00691002,00691001,69,1,2,4564,4564
00700001,00700001,70,0,1,7333,3333
00701001,00701001,70,1,1,3333,752
00750001,00750001,75,0,1,4342,2038
00750002,00750001,75,0,2,4342,2038
00751001,00751001,75,1,1,2038,4347
00751002,00751001,75,1,2,2060,4640
00751003,00751001,75,1,3,2038,4347
00751004,00751001,75,1,4,2038,4347
00760001,00760001,76,0,1,2243,4341
00761001,00761001,76,1,1,4341,4414
00790001,00790001,79,0,1,326,2906
00791001,00791001,79,1,1,2670,1358
007B0001,007B0001,7B,0,1,4962,3544
007B1001,007B1001,7B,1,1,3544,4962
007D0001,007D0001,7D,0,1,4962,3057
007D1001,007D1001,7D,1,1,3057,4962
007D1002,007D1001,7D,1,2,772,4962
00830001,00830001,83,0,1,324,2492
00830003,00830001,83,0,3,324,315
00830004,00830001,83,0,4,7132,2491
00830006,00830001,83,0,6,7132,1615
00831001,00831001,83,1,1,2492,1182
00831003,00831001,83,1,3,2492,1359
00831004,00831001,83,1,4,2492,7131
00831006,00831001,83,1,6,319,6234
00840001,00840001,84,0,1,7188,7272
00840003,00840001,84,0,3,7188,4253
00840004,00840001,84,0,4,4168,4256
00841001,00841001,84,1,1,4260,7188
00841002,00841001,84,1,2,4260,7188
00841004,00841001,84,1,4,4260,4168
01020001,01020001,102,0,1,4381,7348
01021001,01021001,102,1,1,7348,4381
01021002,01021001,102,1,2,3641,4381
01040001,01040001,104,0,1,1730,226
01041001,01041001,104,1,1,226,1747
01110001,01110001,111,0,1,3222,3070
01111001,01111001,111,1,1,2037,4982
01140001,01140001,114,0,1,6200,3085
01141001,01141001,114,1,1,3085,6198
01160001,01160001,116,0,1,848,2955
01161001,01161001,116,1,1,2955,790
01161002,01161001,116,1,2,2853,794
01181001,01181001,118,1,1,3283,334
01200001,01200001,120,0,1,6004,7396
01200002,01200001,120,0,2,485,276
01201001,01201001,120,1,1,284,6071
01201002,01201001,120,1,2,284,414
01220001,01220001,122,0,1,4525,5149
01220002,01220001,122,0,2,4525,263
01221001,01221001,122,1,1,1423,4524
01221002,01221001,122,1,2,1423,1354
01230001,01230001,123,0,1,6057,1489
01230002,01230001,123,0,2,6057,4496
01231001,01231001,123,1,1,1491,7154
01231002,01231001,123,1,2,1491,272
01300001,01300001,130,0,1,293,1765
01301001,01301001,130,1,1,1772,296
01400001,01400001,140,0,1,7149,895
01400002,01400001,140,0,2,7149,187
01401001,01401001,140,1,1,896,7149
01401002,01401001,140,1,2,896,319
01420001,01420001,142,0,1,896,3616
01421001,01421001,142,1,1,3606,896
01450001,01450001,145,0,1,4320,5092
01450003,01450001,145,0,3,848,4175
01450004,01450001,145,0,4,4320,763
01450005,01450001,145,0,5,4320,4130
01451001,01451001,145,1,1,4533,4320
01451002,01451001,145,1,2,4533,325
01451003,01451001,145,1,3,4202,4320
01451004,01451001,145,1,4,3143,4320
01451005,01451001,145,1,5,2060,325
01451006,01451001,145,1,6,4151,4320
01451007,01451001,145,1,7,773,4320
01451008,01451001,145,1,8,768,4320
014C0001,014C0001,14C,0,1,248,336
014C1001,014C1001,14C,1,1,6041,793
01500001,01500001,150,0,1,337,6132
01501001,01501001,150,1,1,4863,5192
01501002,01501001,150,1,2,4863,1358
01510001,01510001,151,0,1,7514,4554
01510002,01510001,151,0,2,7514,4619
01511001,01511001,151,1,1,4606,2278
01511002,01511001,151,1,2,4606,2507
01511003,01511001,151,1,3,4606,1479
015A0001,015A0001,15A,0,1,7077,1103
015A0002,015A0001,15A,0,2,395,1102
015A1001,015A1001,15A,1,1,1105,7216
015B0001,015B0001,15B,0,1,7077,6279
015B0002,015B0001,15B,0,2,395,6278
015B0003,015B0001,15B,0,3,7077,2950
015B1001,015B1001,15B,1,1,6285,7216
015B1002,015B1001,15B,1,2,7067,2499
01610001,01610001,161,0,1,2825,2930
01611001,01611001,161,1,1,2934,2825
01611002,01611001,161,1,2,7067,2868
016C0001,016C0001,16C,0,1,7347,270
016C0002,016C0001,16C,0,2,208,270
016C0003,016C0001,16C,0,3,215,262
016C1001,016C1001,16C,1,1,5171,278
017A0001,017A0001,17A,0,1,4747,1010
017A0002,017A0001,17A,0,2,4747,1008
017A0004,017A0001,17A,0,4,4747,1012
017A0005,017A0001,17A,0,5,4747,1012
017A1001,017A1001,17A,1,1,956,6179
017A1002,017A1001,17A,1,2,956,1576
017A1003,017A1001,17A,1,3,956,7025
017A1004,017A1001,17A,1,4,956,1838
01840001,01840001,184,0,1,4168,6138
01841001,01841001,184,1,1,4657,2973
01841002,01841001,184,1,2,4238,4238
01850001,01850001,185,0,1,4167,4108
01850002,01850001,185,0,2,4167,4420
01850003,01850001,185,0,3,4167,4420
01850004,01850001,185,0,4,4108,4106
01850005,01850001,185,0,5,4167,4154
01850006,01850001,185,0,6,4167,4108
01851001,01851001,185,1,1,4108,4167
01851002,01851001,185,1,2,4420,4167
01851003,01851001,185,1,3,4108,4167
01851004,01851001,185,1,4,4108,4167
01851005,01851001,185,1,5,4108,4167
01851006,01851001,185,1,6,4420,4167
01851007,01851001,185,1,7,4108,4167
01851008,01851001,185,1,8,4108,4108
02200001,02200001,220,0,1,4686,1826
02200002,02200001,220,0,2,4686,1826
02201001,02201001,220,1,1,1828,4686
02201002,02201001,220,1,2,1828,110
02360001,02360001,236,0,1,4747,7384
02361001,02361001,236,1,1,4747,661
02380001,02380001,238,0,1,7073,1826
02380002,02380001,238,0,2,7073,2338
02381001,02381001,238,1,1,1828,6005
02390001,02390001,239,0,1,7026,4795
02390002,02390001,239,0,2,7026,4690
02391001,02391001,239,1,1,4795,7026
025A0001,025A0001,25A,0,1,7391,7168
025A1001,025A1001,25A,1,1,4620,748
025B0001,025B0001,25B,0,1,7391,7118
025B1001,025B1001,25B,1,1,6290,748
025X0001,025X0001,25X,0,1,4953,3890
025X1001,025X1001,25X,1,1,3890,4953
025X1002,025X1001,25X,1,2,7187,4953
02700001,02700001,270,0,1,7026,3332
02701001,02701001,270,1,1,3333,7026
027A0001,027A0001,27A,0,1,298,7199
027A1001,027A1001,27A,1,1,1791,621
027A1002,027A1001,27A,1,2,1796,617
027B0001,027B0001,27B,0,1,300,972
027B0002,027B0001,27B,0,2,300,7112
027B0003,027B0001,27B,0,3,300,7112
027B0004,027B0001,27B,0,4,300,254
027B0005,027B0001,27B,0,5,300,1178
027B1001,027B1001,27B,1,1,324,621
027B1002,027B1001,27B,1,2,324,296
027B1003,027B1001,27B,1,3,7044,296
027B1005,027B1001,27B,1,5,1176,621
027X0001,027X0001,27X,0,1,4952,4594
027X1001,027X1001,27X,1,1,4595,4952
029A0001,029A0001,29A,0,1,291,927
029A1001,029A1001,29A,1,1,950,621
031A0001,031A0001,31A,0,1,289,686
031A1001,031A1001,31A,1,1,686,621
031B0001,031B0001,31B,0,1,289,707
031B0002,031B0001,31B,0,2,289,685
031B0003,031B0001,31B,0,3,289,572
031B1001,031B1001,31B,1,1,567,621
031B1002,031B1001,31B,1,2,557,621
031B1003,031B1001,31B,1,3,557,296
032A0001,032A0001,32A,0,1,289,3623
032A1001,032A1001,32A,1,1,3586,296
032B0001,032B0001,32B,0,1,289,3600
032B0002,032B0001,32B,0,2,289,3599
032B1001,032B1001,32B,1,1,3593,621
032B1002,032B1001,32B,1,2,3593,621
032X0001,032X0001,32X,0,1,4952,5082
032X1001,032X1001,32X,1,1,3640,4952
032X1002,032X1001,32X,1,2,3605,747
033A0001,033A0001,33A,0,1,3677,3808
033A0002,033A0001,33A,0,2,3677,3571
033A1001,033A1001,33A,1,1,6048,3689
033A1002,033A1001,33A,1,2,3815,3692
033A1003,033A1001,33A,1,3,6048,3813
033B0001,033B0001,33B,0,1,4330,3732
033B0002,033B0001,33B,0,2,3720,3725
033B1001,033B1001,33B,1,1,3732,3752
033B1003,033B1001,33B,1,3,3732,4330
033X0001,033X0001,33X,0,1,407,3801
033X1001,033X1001,33X,1,1,3815,747
038A0001,038A0001,38A,0,1,7333,4745
038A1001,038A1001,38A,1,1,4745,7332
038A1002,038A1001,38A,1,2,4745,752
038A1003,038A1001,38A,1,3,4745,82
038B0001,038B0001,38B,0,1,7333,4745
038B1001,038B1001,38B,1,1,4745,752
039A0001,039A0001,39A,0,1,767,7047
039A0002,039A0001,39A,0,2,767,328
039A1001,039A1001,39A,1,1,7157,767
039A1002,039A1001,39A,1,2,7157,1479
040B0001,040B0001,40B,0,1,6004,4316
040B0002,040B0001,40B,0,2,4592,4316
040B1001,040B1001,40B,1,1,4316,52
040D0001,040D0001,40D,0,1,6004,7072
