Stop_ID,Latitude,Longitude,Address
2,53.35228,-6.263668,"51-53 Parnell Square W, Rotunda, Dublin, Ireland"
3,53.352345,-6.263758,"49-51 Parnell Square W, Rotunda, Dublin, Ireland"
4,53.352604,-6.264143,"45 Parnell Square W, Rotunda, Dublin, Ireland"
6,53.352783,-6.264417,"41-43 Parnell Square W, Rotunda, Dublin, Ireland"
7,53.352867,-6.264543,"39-41 Parnell Square W, Rotunda, Dublin, Ireland"
8,53.3479,-6.257916,"9 Eden Quay, North City, Dublin, Ireland"
10,53.353436,-6.265067,"30-36 Parnell Square W, Rotunda, Dublin, Ireland"
11,53.357025,-6.264297,"Flat 1, Sráid Dorset Uachtarach, Inns Quay, Baile Átha Cliath 1, Ireland"
12,53.356743,-6.264577,"58-59 Dorset Street Upper, Inns Quay, Dublin, Ireland"
14,53.358433,-6.262643,"16 Dorset Street Lower, Rotunda, Dublin, Ireland"
15,53.360165,-6.260883,"78-80 Dorset Street Lower, Inns Quay, Dublin, Ireland"
16,53.366375,-6.305618,"Sancta Maria, Nephin Rd, Cabra West, Dublin 7, Ireland"
17,53.362984,-6.258309,"Drumcondra Dart Station, Drumcondra Rd Lower, Drumcondra, Dublin 9, Ireland"
18,53.365864,-6.255955,"104-106 Drumcondra Rd Lower, Drumcondra, Dublin, Ireland"
19,53.367138,-6.255483,"143 Drumcondra Rd Lower, Drumcondra, Dublin, Ireland"
21,53.370033,-6.254196,"Lisdearg, Drumcondra Rd Upper, Drumcondra, Dublin 9, Ireland"
22,53.373566,-6.252768,"3 Home Farm Rd, Drumcondra, Dublin, Ireland"
23,53.374313,-6.256227,"47-49 Home Farm Rd, Drumcondra, Dublin, Ireland"
24,53.375191,-6.260334,"Saint Gerards, Home Farm Rd, Drumcondra, Dublin 9, Ireland"
25,53.375904,-6.263611,"113-127 Home Farm Rd, Drumcondra, Dublin, Ireland"
27,53.379368,-6.266495,"78 Ballymun Rd, Ballygall, Dublin, Ireland"
28,53.381565,-6.265862,"57 Ballymun Rd, Ballygall, Dublin, Ireland"
29,53.383461,-6.265566,"85-115 Ballymun Rd, Ballygall, Dublin, Ireland"
30,53.370331,-6.304527,"Saint Martin, Ventry Park, Cabra West, Dublin 7, Ireland"
31,53.386086,-6.268842,"Redwood, St Pappin Rd, Ballygall, Dublin 11, Ireland"
32,53.386204,-6.271369,"53-71 St Pappin Rd, Ballygall, Dublin, Ireland"
33,53.388695,-6.271741,"5-9 Glasnevin Dr, Ballygall, Dublin, Ireland"
35,53.386185,-6.270909,"53-71 St Pappin Rd, Ballygall, Dublin, Ireland"
36,53.386047,-6.267875,"Knockaderry, St Pappin Rd, Ballygall, Dublin 11, Ireland"
37,53.385361,-6.265003,"Aisling, Albert College Cres, Whitehall, Dublin 9, Ireland"
38,53.382252,-6.265583,"Ballymun Rd, Whitehall, Dublin, Ireland"
39,53.380424,-6.265748,"Saint Margarets, Ballymun Rd, Whitehall, Dublin 9, Ireland"
40,53.376633,-6.264807,"46-60 St Mobhi Rd, Drumcondra, Dublin, Ireland"
41,53.375519,-6.261847,"Davora, Home Farm Rd, Drumcondra, Dublin 9, Ireland"
42,53.374573,-6.257456,"76-78 Home Farm Rd, Drumcondra, Dublin, Ireland"
43,53.37381,-6.253885,"11-29 Home Farm Rd, Drumcondra, Dublin, Ireland"
44,53.373093,-6.252235,"128 Drumcondra Rd Upper, Drumcondra, Dublin, Ireland"
45,53.369949,-6.254246,"Cuil Ce Leabhair, Drumcondra Rd Upper, Drumcondra, Dublin 9, Ireland"
46,53.367157,-6.255481,"145 Drumcondra Rd Lower, Drumcondra, Dublin, Ireland"
47,53.363998,-6.257374,"Drumcondra Rd Lower, Drumcondra, Dublin 9, Ireland"
48,53.3624,-6.25885,"Apartment 3, Bóthar Dhroim Conrach Íochtarach, Droim Conrach, Dublin 9, Ireland"
49,53.360065,-6.26098,"78-80 Dorset Street Lower, Inns Quay, Dublin, Ireland"
50,53.358669,-6.262354,"Dorset Street Lower, Rotunda, Dublin 1, Ireland"
51,53.357899,-6.263332,"8 Dorset Street Lower, Rotunda, Dublin, Ireland"
52,53.356716,-6.264605,"57-58 Dorset Street Upper, Inns Quay, Dublin, Ireland"
53,53.360031,-6.262814,"422-424 N Circular Rd, Inns Quay, Dublin, Ireland"
54,53.36026,-6.265548,"419-421 N Circular Rd, Inns Quay, Dublin, Ireland"
55,53.360489,-6.268449,"397 N Circular Rd, Inns Quay, Dublin, Ireland"
56,53.360813,-6.276449,"9-13 Dalymount, Cabra East, Dublin, Ireland"
