date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl
01-nov-2012 00:00,0,0.0,0,0.8,4, , , , ,976.2
01-nov-2012 01:00,0,0.0,0,1.3,0,1.0,0.6,6.4,95,976.0
01-nov-2012 02:00,0,0.0,0,1.5,0,1.2,0.8,6.5,94,976.2
01-nov-2012 03:00,0,0.0,0,0.8,0,0.6,0.1,6.2,95,976.3
01-nov-2012 04:00,0,0.0,0,1.1,0,0.9,0.6,6.4,96,976.1
01-nov-2012 05:00,0,0.0,0,1.3,0,1.1,0.7,6.4,96,976.4
01-nov-2012 06:00,0,0.0,0,1.2,0,1.0,0.6,6.4,95,976.2
01-nov-2012 07:00,0,0.0,0,1.1,0,0.9,0.6,6.4,96,976.8
01-nov-2012 08:00,0,0.0,0,1.3,0,1.1,0.8,6.5,96,977.4
01-nov-2012 09:00,0,0.0,0,1.6,0,1.4,1.1,6.6,97,977.9
01-nov-2012 10:00,0,0.0,0,2.8,0,2.6,2.2,7.2,95,977.9
01-nov-2012 11:00,0,0.0,0,3.9,0,3.3,2.5,7.3,90,978.0
01-nov-2012 12:00,0,0.0,0,5.8,0,4.1,1.5,6.8,73,977.7
01-nov-2012 13:00,0,0.0,0,7.2,0,4.7,0.8,6.5,63,977.4
01-nov-2012 14:00,0,0.0,0,6.8,0,4.4,0.8,6.5,65,976.9
01-nov-2012 15:00,0,0.0,0,6.3,0,4.1,0.8,6.5,67,976.7
01-nov-2012 16:00,0,0.2,0,5.4,0,4.2,2.3,7.2,80,976.8
01-nov-2012 17:00,0,0.9,0,4.7,0,4.1,3.3,7.8,90,977.6
01-nov-2012 18:00,0,0.1,0,4.7,0,4.2,3.4,7.8,91,978.0
01-nov-2012 19:00,0,0.0,0,4.6,0,4.0,3.1,7.6,90,978.8
01-nov-2012 20:00,0,0.0,0,4.4,0,3.7,2.6,7.4,88,979.5
01-nov-2012 21:00,0,0.0,0,4.4,0,3.6,2.3,7.2,86,980.0
01-nov-2012 22:00,0,0.0,0,4.8,0,3.9,2.6,7.4,85,980.3
01-nov-2012 23:00,0,0.1,0,5.0,0,4.0,2.6,7.4,84,980.7
02-nov-2012 00:00,0,0.0,0,5.0,0,4.1,2.8,7.5,85,981.3
02-nov-2012 01:00,0,0.0,0,5.1,0,4.2,2.8,7.5,85,981.7
02-nov-2012 02:00,0,0.0,0,4.6,0,3.6,2.2,7.2,84,982.5
02-nov-2012 03:00,0,0.0,0,4.4,0,3.5,2.0,7.1,84,982.6
02-nov-2012 04:00,0,0.0,0,3.9,0,2.9,1.2,6.7,82,982.7
02-nov-2012 05:00,0,0.0,0,3.4,0,2.5,0.9,6.5,83,982.9
02-nov-2012 06:00,0,0.0,0,3.5,0,2.6,1.0,6.6,83,983.0
02-nov-2012 07:00,0,0.0,0,3.2,0,2.3,0.8,6.5,84,983.6
02-nov-2012 08:00,0,0.0,0,3.4,0,2.4,0.8,6.5,83,983.6
02-nov-2012 09:00,0,0.0,0,4.2,0,3.1,1.4,6.7,81,984.0
02-nov-2012 10:00,0,0.0,0,6.7,0,4.7,1.8,7.0,70,984.3
02-nov-2012 11:00,0,0.0,0,7.7,0,5.4,2.2,7.2,68,985.0
02-nov-2012 12:00,0,0.0,0,8.4,0,6.0,2.6,7.4,67,985.3
02-nov-2012 13:00,0,0.3,0,6.6,0,4.9,2.5,7.3,74,986.3
02-nov-2012 14:00,0,0.0,0,8.1,0,5.8,2.6,7.4,68,986.4
02-nov-2012 15:00,0,0.0,0,7.2,0,5.3,2.6,7.3,72,987.4
02-nov-2012 16:00,0,0.0,0,6.2,0,4.9,3.2,7.7,81,988.8
02-nov-2012 17:00,0,0.0,0,5.4,0,4.2,2.6,7.3,82,989.6
02-nov-2012 18:00,0,0.0,0,3.9,0,3.1,2.0,7.1,87,989.8
02-nov-2012 19:00,0,0.0,0,2.5,0,2.1,1.4,6.7,91,990.1
02-nov-2012 20:00,0,0.0,0,2.3,0,1.9,1.3,6.7,93,990.6
02-nov-2012 21:00,0,0.0,0,3.0,0,2.4,1.5,6.8,89,991.0
02-nov-2012 22:00,0,0.0,0,2.6,0,2.1,1.2,6.7,90,991.0
02-nov-2012 23:00,0,0.0,0,2.6,0,1.9,0.6,6.4,87,990.7
03-nov-2012 00:00,0,0.0,0,2.0,0,1.4,0.5,6.3,89,990.8
03-nov-2012 01:00,0,0.0,0,1.9,0,1.3,0.3,6.3,89,990.7
03-nov-2012 02:00,0,0.0,0,1.4,0,1.1,0.5,6.3,93,990.5
03-nov-2012 03:00,0,0.0,0,1.1,0,0.8,0.1,6.2,93,990.4
03-nov-2012 04:00,0,0.0,0,0.6,0,0.2,-0.5,5.9,92,990.1
03-nov-2012 05:00,0,0.0,0,1.4,0,0.9,0.0,6.1,90,990.4
03-nov-2012 06:00,0,0.0,0,1.6,0,0.9,-0.4,5.9,86,990.5
03-nov-2012 07:00,0,0.0,0,1.8,0,1.0,-0.2,6.0,86,990.8
03-nov-2012 08:00,0,0.0,0,2.0,0,1.1,-0.4,5.9,83,991.4
03-nov-2012 09:00,0,0.0,0,3.2,0,1.9,-0.3,6.0,77,991.5
03-nov-2012 10:00,0,0.0,0,5.2,0,3.1,-0.4,5.9,67,991.4
03-nov-2012 11:00,0,0.0,0,6.3,0,4.0,0.2,6.2,64,991.4
03-nov-2012 12:00,0,0.0,0,7.1,0,4.3,0.0,6.1,60,991.3
03-nov-2012 13:00,0,0.0,0,7.6,0,4.6,-0.1,6.1,57,991.2
03-nov-2012 14:00,0,0.0,0,7.1,0,4.1,-0.8,5.8,56,990.9
03-nov-2012 15:00,0,0.0,0,6.9,0,4.1,-0.4,5.9,59,990.8
03-nov-2012 16:00,0,0.0,0,6.4,0,3.6,-1.0,5.7,59,990.7
03-nov-2012 17:00,0,0.0,0,5.1,0,3.1,-0.3,6.0,68,990.8
03-nov-2012 18:00,0,0.0,0,4.8,0,2.8,-0.4,6.0,69,990.7
03-nov-2012 19:00,0,0.0,0,4.1,0,2.6,0.1,6.2,75,991.1
03-nov-2012 20:00,0,0.0,0,4.2,0,2.7,0.2,6.2,75,990.9
03-nov-2012 21:00,0,0.0,0,5.2,0,3.4,0.5,6.3,71,990.9
03-nov-2012 22:00,0,0.0,0,5.3,0,3.3,0.1,6.1,69,990.5
03-nov-2012 23:00,0,0.0,0,5.3,0,3.3,-0.0,6.1,68,990.2
04-nov-2012 00:00,0,0.0,0,6.4,0,3.9,-0.2,6.0,62,989.8
04-nov-2012 01:00,0,0.0,0,6.7,0,4.3,0.7,6.4,65,989.5
04-nov-2012 02:00,0,0.0,0,6.6,0,4.2,0.4,6.3,64,989.2
04-nov-2012 03:00,0,0.0,0,7.1,0,4.5,0.6,6.4,63,988.7
04-nov-2012 04:00,0,0.0,0,7.4,0,4.8,0.8,6.5,63,988.3
04-nov-2012 05:00,0,0.0,0,6.9,0,4.8,1.7,6.9,69,988.2
04-nov-2012 06:00,0,0.2,0,6.3,0,4.7,2.3,7.2,75,988.0
04-nov-2012 07:00,0,0.1,0,6.8,0,5.2,2.9,7.5,76,988.2
04-nov-2012 08:00,0,0.9,0,5.5,0,4.7,3.5,7.9,87,988.4
04-nov-2012 09:00,0,0.9,0,5.4,0,4.6,3.4,7.8,86,988.5
04-nov-2012 10:00,0,0.4,0,5.8,0,4.9,3.8,8.0,87,988.9
04-nov-2012 11:00,0,0.0,0,6.6,0,5.7,4.7,8.5,87,989.3
04-nov-2012 12:00,0,0.1,0,7.1,0,6.3,5.3,8.9,88,989.5
04-nov-2012 13:00,0,0.1,0,7.3,0,6.3,4.9,8.7,84,989.9
